,balaclava,bobolink,china creek,falaise,gordon,kensington,killarney,locarno,memorial south,moberly,oak meadows,prince of wales,queen elizabeth,quilchena,rupert,slocan,west memorial,winona
Apis mellifera,2,2,2,3,3,2,2,2,3,3,2,3,3,3,3,3,2,3
Bombus flavifrons,2,3,4,3,0,1,1,4,4,1,3,2,2,3,3,2,3,2
Bombus impatiens,5,5,6,4,4,3,4,3,4,5,2,3,3,5,2,4,2,5
Bombus melanopygus,1,0,1,1,0,1,2,1,0,2,1,1,0,1,0,1,0,3
Bombus mixtus,2,3,3,4,3,2,3,1,3,3,2,1,3,3,1,2,2,3
Bombus vosnesenskii,6,6,6,6,6,6,6,3,6,5,6,6,5,6,6,6,5,6
Bombus nevadensis,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Agapostemon texanus,1,2,2,1,0,1,1,0,2,2,2,0,1,1,1,1,1,1
Anthidium manicatum,0,1,0,1,2,1,1,0,0,1,1,0,1,1,2,0,1,0
Melissodes microstictus,0,3,0,0,0,1,1,1,0,1,2,3,1,0,0,0,0,0
Hylaeus modestus,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ceratina acantha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoplitis morpho1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Colletes morpho1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Melecta pacifica,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
